id,tokens,ner_tags
0,In,0
0,the,0
0,folklore,0
0,of,0
0,the,0
0,"region,",0
0,K2,1
0,is,0
0,said,0
0,to,0
0,be,0
0,the,0
0,home,0
0,of,0
0,the,0
0,gods.,0
1,In,0
1,the,0
1,folklore,0
1,of,0
1,the,0
1,"region,",0
1,Aconcagua,1
1,is,0
1,said,0
1,to,0
1,be,0
1,the,0
1,home,0
1,of,0
1,the,0
1,gods.,0
2,Everest,1
2,is,0
2,noted,0
2,for,0
2,its,0
2,distinct,0
2,geological,0
2,formations.,0
3,The,0
3,base,0
3,camp,0
3,of,0
3,Kilimanjaro,1
3,is,0
3,a,0
3,bustling,0
3,hub,0
3,for,0
3,mountaineers.,0
4,The,0
4,base,0
4,camp,0
4,of,0
4,Everest,1
4,is,0
4,a,0
4,bustling,0
4,hub,0
4,for,0
4,mountaineers.,0
5,The,0
5,base,0
5,camp,0
5,of,0
5,Aconcagua,1
5,is,0
5,a,0
5,bustling,0
5,hub,0
5,for,0
5,mountaineers.,0
6,The,0
6,challenging,0
6,ascent,0
6,of,0
6,Annapurna,1
6,has,0
6,attracted,0
6,climbers,0
6,for,0
6,decades.,0
7,The,0
7,base,0
7,camp,0
7,of,0
7,Annapurna,1
7,is,0
7,a,0
7,bustling,0
7,hub,0
7,for,0
7,mountaineers.,0
8,The,0
8,base,0
8,camp,0
8,of,0
8,K2,1
8,is,0
8,a,0
8,bustling,0
8,hub,0
8,for,0
8,mountaineers.,0
9,The,0
9,challenging,0
9,ascent,0
9,of,0
9,Denali,1
9,has,0
9,attracted,0
9,climbers,0
9,for,0
9,decades.,0
10,Olympus,1
10,is,0
10,noted,0
10,for,0
10,its,0
10,distinct,0
10,geological,0
10,formations.,0
11,In,0
11,the,0
11,folklore,0
11,of,0
11,the,0
11,"region,",0
11,McKinley,1
11,is,0
11,said,0
11,to,0
11,be,0
11,the,0
11,home,0
11,of,0
11,the,0
11,gods.,0
12,Olympus,1
12,rises,0
12,majestically,0
12,above,0
12,the,0
12,surrounding,0
12,landscape.,0
13,The,0
13,base,0
13,camp,0
13,of,0
13,Denali,1
13,is,0
13,a,0
13,bustling,0
13,hub,0
13,for,0
13,mountaineers.,0
14,The,0
14,base,0
14,camp,0
14,of,0
14,Fuji,1
14,is,0
14,a,0
14,bustling,0
14,hub,0
14,for,0
14,mountaineers.,0
15,McKinley,1
15,is,0
15,noted,0
15,for,0
15,its,0
15,distinct,0
15,geological,0
15,formations.,0
16,Everest,1
16,rises,0
16,majestically,0
16,above,0
16,the,0
16,surrounding,0
16,landscape.,0
17,The,0
17,challenging,0
17,ascent,0
17,of,0
17,K2,1
17,has,0
17,attracted,0
17,climbers,0
17,for,0
17,decades.,0
18,Denali,1
18,is,0
18,noted,0
18,for,0
18,its,0
18,distinct,0
18,geological,0
18,formations.,0
19,In,0
19,the,0
19,folklore,0
19,of,0
19,the,0
19,"region,",0
19,Olympus,1
19,is,0
19,said,0
19,to,0
19,be,0
19,the,0
19,home,0
19,of,0
19,the,0
19,gods.,0
20,In,0
20,the,0
20,folklore,0
20,of,0
20,the,0
20,"region,",0
20,Fuji,1
20,is,0
20,said,0
20,to,0
20,be,0
20,the,0
20,home,0
20,of,0
20,the,0
20,gods.,0
21,In,0
21,the,0
21,folklore,0
21,of,0
21,the,0
21,"region,",0
21,Denali,1
21,is,0
21,said,0
21,to,0
21,be,0
21,the,0
21,home,0
21,of,0
21,the,0
21,gods.,0
22,K2,1
22,is,0
22,noted,0
22,for,0
22,its,0
22,distinct,0
22,geological,0
22,formations.,0
23,Fuji,1
23,rises,0
23,majestically,0
23,above,0
23,the,0
23,surrounding,0
23,landscape.,0
24,The,0
24,base,0
24,camp,0
24,of,0
24,Elbrus,1
24,is,0
24,a,0
24,bustling,0
24,hub,0
24,for,0
24,mountaineers.,0
25,The,0
25,base,0
25,camp,0
25,of,0
25,McKinley,1
25,is,0
25,a,0
25,bustling,0
25,hub,0
25,for,0
25,mountaineers.,0
26,The,0
26,challenging,0
26,ascent,0
26,of,0
26,Kilimanjaro,1
26,has,0
26,attracted,0
26,climbers,0
26,for,0
26,decades.,0
27,In,0
27,the,0
27,folklore,0
27,of,0
27,the,0
27,"region,",0
27,Elbrus,1
27,is,0
27,said,0
27,to,0
27,be,0
27,the,0
27,home,0
27,of,0
27,the,0
27,gods.,0
28,In,0
28,the,0
28,folklore,0
28,of,0
28,the,0
28,"region,",0
28,Kilimanjaro,1
28,is,0
28,said,0
28,to,0
28,be,0
28,the,0
28,home,0
28,of,0
28,the,0
28,gods.,0
29,K2,1
29,rises,0
29,majestically,0
29,above,0
29,the,0
29,surrounding,0
29,landscape.,0
30,Elbrus,1
30,is,0
30,noted,0
30,for,0
30,its,0
30,distinct,0
30,geological,0
30,formations.,0
31,Aconcagua,1
31,is,0
31,noted,0
31,for,0
31,its,0
31,distinct,0
31,geological,0
31,formations.,0
32,The,0
32,challenging,0
32,ascent,0
32,of,0
32,McKinley,1
32,has,0
32,attracted,0
32,climbers,0
32,for,0
32,decades.,0
33,Elbrus,1
33,rises,0
33,majestically,0
33,above,0
33,the,0
33,surrounding,0
33,landscape.,0
34,The,0
34,base,0
34,camp,0
34,of,0
34,Olympus,1
34,is,0
34,a,0
34,bustling,0
34,hub,0
34,for,0
34,mountaineers.,0
35,Annapurna,1
35,rises,0
35,majestically,0
35,above,0
35,the,0
35,surrounding,0
35,landscape.,0
36,The,0
36,challenging,0
36,ascent,0
36,of,0
36,Olympus,1
36,has,0
36,attracted,0
36,climbers,0
36,for,0
36,decades.,0
37,Fuji,1
37,is,0
37,noted,0
37,for,0
37,its,0
37,distinct,0
37,geological,0
37,formations.,0
38,Kilimanjaro,1
38,is,0
38,noted,0
38,for,0
38,its,0
38,distinct,0
38,geological,0
38,formations.,0
39,The,0
39,challenging,0
39,ascent,0
39,of,0
39,Elbrus,1
39,has,0
39,attracted,0
39,climbers,0
39,for,0
39,decades.,0
40,Aconcagua,1
40,rises,0
40,majestically,0
40,above,0
40,the,0
40,surrounding,0
40,landscape.,0
41,In,0
41,the,0
41,folklore,0
41,of,0
41,the,0
41,"region,",0
41,Annapurna,1
41,is,0
